city,lon,lat
Treben,12.4509833,51.0522949
Gr.Görschen,11.8905444475,51.1138015
Joachimsthal,13.7453282,52.9770643
Wermsdorf,12.9389605,51.2800216
Lucka,12.3353,51.0951
Falkenau,13.1135325858,50.8558137
Mittweida,12.9810458,50.9854597
Oberwiesenthal,12.970962,50.419377
Hohnstein,14.1111221,50.9797836
Hartenstein,12.6712469,50.6618358
Merseburg,11.996148,51.3564413
Meissen,13.4704939,51.1630871
Leisnig,12.9265979,51.16005
Beelitz,12.9700041,52.2363582
Kl.-Wiederitzsch,12.3607104,51.3898827
Apolda,11.5129742,51.0227878
Reichersdorf,13.090487,48.7482297
Pretzsch,11.9463007,51.0939256
Markersdorf,12.861184,50.9177351
Lauterbach,9.4,50.6333
Burgliebenau,12.0420786,51.3917812
Rumburg,7.6595913,49.057449
Rudolstadt,11.3401985,50.7206063
Gosserau,12.0636359,51.1376862
Meineweh,11.9883345,51.0760857
Radegast,11.0489403,53.7987547
Zeisig,12.9716467,50.980431
Lausigk,12.0846481,51.7570214
Frankenberg,13.0846822437,50.9187702
Königsbrück,13.9028337,51.2637467
Wörlitz,12.4199023,51.8414537
Netzschkau,12.2479711,50.6132276
Kahla,11.5877025,50.8025663
Glashütte,13.7833046,50.8499967
Bach,12.0973726,51.3191158
Schmölen,12.7217784,51.3484673
Knautnaundorf,12.2702125,51.254259
Strehla,13.221527,51.352236
Schleiz,11.80891,50.5774374
Aue,12.6993046,50.5860269
Fichtelberg,12.9540657,50.4282781
Lützschena,12.2807401,51.3832549
(Oschatz),13.1082637,51.297984
Waldheim,13.0157798,51.0770643
Köstritz,12.0093697,50.9315498
Sommerfeld,12.489673,51.3476629
Scheibenberg,12.9144207,50.5404022
Schwarzenberg,14.1063024,51.2142072
Köthen,11.932331907,51.73570305
Eilenburg,12.6334496,51.4598924
Klausa,12.5127279,50.9579257
Dippoldiswalde,13.6676788566,50.8936642
Zörbig,12.1175042,51.6291126
Langenberg,7.1204025,51.3517803
Tharandt,13.5794907,50.9853391
Schkeuditz,12.2216292,51.3963509
Seerhausen,13.2546065,51.2666603
Bautzen,14.4270706662,51.1840794
Jena,11.5879359,50.9281717
Bayreuth,11.5763079,49.9427202
Steinigtwolmsdorf,14.3469407,51.0664505
Pressnitz,13.1482541,50.5574976
Kühren,10.2599977,54.198856
Lauenstein,11.3695598,50.5106428
Bruckdorf,12.0278767,51.4445824
Hainichen,13.1229747,50.9725862
Eger,12.0521721,50.1238036
Dresden,13.7381437,51.0493286
Zeulenroda,11.979914,50.6498043
Threna,12.5409553,51.2565406
Greiz,12.2008694,50.6562556
Schildau,12.9516230247,51.45288105
Schlettau,12.9502234,50.5575902
Paunsdorf,12.4685167,51.3523669
Hänichen,12.2667679,51.3847059
Belgern,13.1218176667,51.46453995
Platten,6.9546213,49.9520594
Gröbern,12.443988992,51.68908195
Chemnitztal,12.9213969,50.8613797
Gröbers,12.1175529,51.4299776
Rudelsburg,11.7065960458,51.10902515
Bitterfeld,12.3301466,51.6239124
Groitzsch,12.2833,51.15
Kamenz,14.1255878334,51.2825652
Delitzsch,12.342857,51.5255661
Elterlein,12.8688973,50.5769435
Wechselburg,12.7733471,51.0048471
Lohmen,13.998086,50.9886263
Marienberg,13.163188,50.6507279
Warnsdorf,11.8334054,50.8349595
Münsa,12.4748949,50.984337
Schellenberg,13.0994217,50.812939
Nossen,13.2980726,51.0565934
